"STATUS_0","Incomplet ou invalide"
"STATUS_1","Annulé par client"
"STATUS_2","Autorisation refusée"
"STATUS_3",""


"STATUS_41","Attente paiement par client"
"STATUS_5","Autorisé"

"STATUS_50","Autorisé en attente de résultat externe"
"STATUS_51","Autorisation en attente"
"STATUS_52","Autorisation incertaine"
"STATUS_55","En suspens"
"STATUS_56","OK avec paiements planifiés"
"STATUS_57","Erreur dans les paiements planifiés"
"STATUS_59","Autorisation à obtenir manuellement"

"STATUS_6","Autorisé et annulé"
"STATUS_61","Annulation d'autorisation en attente"
"STATUS_62","Annulation d'autorisation incertaine"
"STATUS_63","Annulation d'autorisation refusée"
"STATUS_64","Autorisé et annulé"

"STATUS_7","Paiement annulé"
"STATUS_71","Annulation paiement en attente"
"STATUS_72","Annulation paiement incertaine"
"STATUS_73","Annulation paiement refusée"
"STATUS_74","Paiement annulé"
"STATUS_75","Annulation traitée par le marchand"

"STATUS_8","Remboursement"
"STATUS_81","Refund pending"
"STATUS_82","Refund uncertain"
"STATUS_83","Refund refused"
"STATUS_84","Payment declined by the acquirer"
"STATUS_85","Refund processed by merchant"

"STATUS_9","Paiement demandé"
"STATUS_91","Paiement en cours"
"STATUS_92","Paiement incertain"
"STATUS_93","Paiement refusé"
"STATUS_94","Remboursement refusé par l'acquéreur"
"STATUS_95","Paiement traité par le marchand"
"STATUS_99","En cours de traitement"

"Hash is not valid","Hash n'est pas valable"
"Order is not valid","La commande n'est pas valable"
"Process outgoing transaction","Traitement de la transaction en cours."
"Start PostFinance processing","Démarrage /Démarrer le traitement PostFinance"
"Your payment information was declined. Please select another payment method.","Vos données de paiement ont été refusées. Veuillez choisir une autre méthode de paiement."
"Order canceled on PostFinance side. Status: %s, Payment ID: %s.","Commande annulée par PostFinance. Statut: %s, Payment ID: %s."
"Account number must contain numbers only.","Le numéro de compte ne doit contenir que des nombres."
"Bank code must contain numbers only.","Le code bancaire ne doit contenir que des nombres."
"Account Holder must be filled in.","Le titulaire du compte doit être renseigné."
"Process outgoing transaction","Traitement de la transaction en cours."
"Capture process complete","Demande de capture complétée."
"The capture has already been invoiced.","Le paiement a déjà été facturé."
"Cannot create an invoice without products.","Une facture ne peut être créée sans produits."
"Partial capture process complete","Demande de capture partielle complétée."
"Invoice ""%s"" was created automatically. PostFinance Status: %s.","La facture ""%s"" a été créée automatiquement. Statut PostFinance: %s."
"Start PostFinance refund request","Démarrer la demande de remboursement PostFinance"
"Creditmemo will be created automatically as soon as PostFinance sends an acknowledgement. PostFinance Status: %s.","Une note de crédit sera créée automatiquement dès réception de la confirmation de l'PostFinance. Statu de l'PostFinance: %s."
"Creditmemo ""%s"" was created automatically. PostFinance Status: %s.","La note de crédit ""%s""a été créée automatiquement. Statut PostFinance: %s."
"Could not perform actions for PostFinance status: %s.","La transaction n'a pu être effectuée pour PostFinance statut: %s."
"Refund is waiting or uncertain. PostFinance status: %s.","Remboursement en attente ou incertain. Statut PostFinance: %s."
"Refund was refused. Automatic creation failed. PostFinance status: %s.","Le remboursement a échoué.La création automatique a échoué. Statut PostFinance : %s."
"Capture is waiting or uncertain. PostFinance status: %s.","La capture de paiement est en attente ou incertaine. Statut PostFinance: %s."
"Capture was refused. Automatic creation failed. PostFinance status: %s.","La capture de paiement a échoué.La création automatique a échoué. Statut PostFinance : %s."
"Void is waiting or uncertain. PostFinance status: %s.","L'annulation est en attente ou incertain. Statut PostFinance: %s."
"Void was refused. Automatic creation failed. PostFinance status: %s.","L'annulation est refusée. Statut PostFinance: %s."
"Authorization status changed. Current PostFinance status is: %s.","Le statut de l'autorisation est modifié. Le statut actuel de l'PostFinance status est: %s."
"Unknown PostFinance status: %s.","Statut PostFinance inconnu: %s."
"Error transaction count is %s instead of 1 for the Payid ""%s"", la transaction est %s au lieu de 1 pour le Payid ""%s"", Commande ""%s"" et Opération ""%s"".","Erreur, la transaction est %s au lieu de 1 pour le Payid ""%s"", Commande ""%s"" et Opération ""%s""."
"Order can not be saved.","La commande n'a pas pu être enregistrée."
"Order can not be canceled for system reason.","La commande n'a pas pu être annulée pour cause d'une erreur système."
"Order declined on ops side. PostFinance status: %s, Payment ID: %s.","Commande refusée par l'PostFinance. Statut PostFinance: %s, Payment ID: %s."
"Order can not be saved for system reason.","La commande n'a pas pu être enregistrée pour cause d'une erreur système."
"An unknown exception occured.","An unknown exception occured."
"A technical problem arose during payment process, donnant un résultat incertain. Statut PostFinance: %s.","Une erreur technique est survenue pendant le processus de paiement, donnant un résultat incertain. Statut PostFinance: %s."
"An unknown exception was thrown in the payment process. PostFinance status: %s.","An unknown exception was thrown in the payment process. PostFinance status: %s."
"Waiting for the payment of the customer","En attente du paiement du client"
"Authorization waiting from PostFinance","Autorisation en attente de PostFinance"
"Processed by PostFinance","Traité par  PostFinance"
"Waiting for payment. PostFinance status: %s.","En attente de paiement. Statut PostFinance: %s."
"Authorization waiting. PostFinance status: %s.","Autorisation en attente. Statut PostFinance: %s."
"Authorization uncertain. PostFinance status: %s.","Authorization uncertain. PostFinance status: %s."
"Processed by PostFinance. Payment ID: %s. PostFinance status: %s.","Traité par PostFinance. Payment ID: %s. Statut PostFinance : %s."
"PostFinance server is temporarily not available,veuillez réessayer plus tard.","Le serveur PostFinance est temporairement inaccessible,veuillez réessayer plus tard."
"An error occured during the PostFinance request. Your action could not be executed. Message: ""%s"".","Une erreur est survenue pendant la demande vers PostFinance. Votre action n'a pu être exectuée. Message: ""%s""."
"You already sent a capture request. Please wait until the capture request is acknowledged.","Une demande de paiement a déjà été envoyée.Veuillez attendre l'accusé de réception de la demande."
"There is one void request waiting. Please wait until this request is acknowledged.","Il y a une demande d'annulation en attente. Veuillez attendre l'accusé de réception de la demande."
"Start PostFinance %s capture request","Démarrer la demande de capture PostFinance %s"
"Invoice will be created automatically as soon as PostFinance sends an acknowledgement. PostFinance status: %s.","Une facture va être créée automatiquement dès réception de l'accusé de réception. Statut PostFinance: %s."
"The Invoice will be created automatically as soon as PostFinance sends an acknowledgement.","La facture va être créée automatiquement dès réception de l'accusé de réception. Statut PostFinance: %s."
"The Invoice was not created. PostFinance status: %s.","La facture n'a pas pu être créée. Statut PostFinance : %s."
"The CreditMemo was not created. PostFinance status: %s.","La note de crédit n'a pas pu être créée. Statut PostFinance : %s."
"The Creditmemo will be created automatically as soon as PostFinance sends an acknowledgement.","La facture va être créée automatiquement dès réception de l'accusé de réception de PostFinance."
"There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as PostFinance sends an acknowledgement.","Il y a une demande de note de crédit en attente. Veuillez attendre l'accusé de réception de l'annulation"
"Please use void to cancel the operation.","Veuillez utiliser annulation pour annuler cette opération."
"You already sent a void request. Please wait until the void request will be acknowledged.","Il y a une demande de note de crédit en attente. Veuillez attendre l'accusé de réception de l'annulation."
"There is one capture request waiting. Please wait until this request is acknowledged.","Il y a une demande de capture de paiement en attente. Veuillez attendre l'accusé de réception de l'annulation."
"The void request is sent. Please wait until the void request will be accepted.","Une demande d'annulation est envoyée. Merci de patienter jusqu'à validation de la demande d'annulation."
"Void order succeed. PostFinance status: %s.","Annulation de commande réussie. Statut PostFinance : %s."
"Void order failed. PostFinance status: %s.","L'annulation de la commande a échoué.Statut PostFinance : %s."
"Authorization","Autorisation"
"Direct Sale","Vente directe"
"Horizontally grouped logo with group name on left","Logos regroupés horizontalement avec nom du groupe sur la gauche."
"Horizontally grouped logo with no group name","Logos regroupés horizontalement sans nom de groupe."
"Verical list","Liste Verticale"
"You will be redirected to the payment page after the order confirmation.","Vous allez être redirigé vers la page de paiement après confirmation de la commande."
"Payment failed. Please select another payment method.","Le paiement a échoué. Veuillez choisir une autre méthode de paiement."
"Payment failed. Please review your input or select another payment method.","Le paiement a échoué. Veuillez revoir les données saisies ou choisir une autre méthode de paiement."
"Incorrect credit card expiration date","La date d'expiration de la carte de crédit est incorrecte."
"Credit Card Type","Type de carte de Crédit"
"Name on Card","Nom figurant sur la carte"
"Credit Card Number","Numéro de Carte de Crédit"
"Card Verification Number","Code de vérification de la Carte"
"Expiration Date","Date d'expiration"
"Account holder,Titulaire du compte"
"Account number","Numéro de compte"
"Bank code","Code bancaire"
"You will be redirected to PostFinance website when you place an order.","Vous allez être redirigé( e) vers le site PostFinance lors de la commande."
"Please wait a moment. This page will transfer your data to PostFinance payment gateway in a few seconds.","Please wait a moment. This page will transfer your data to PostFinance payment gateway in a few seconds."
"PSPID is a case sensitive field","Le PSPID est sensible à la case"
"SHA-IN Pass phrase","clé SHA-IN"
"Refer to PostFinance's backend in section <em>Technical Information</em> on tab <em>Data and origin verification</em>.","Référez-vous au backend PostFinance dans la section <em>Information technique</em> onglet <em>Contrôle de données et d'origine</em>"
"SHA-OUT Pass phrase","clé SHA-OUT"
"Refer to PostFinance's backend in section <em>Technical Information</em> on tab <em>Transaction feedback</em>.","XXXXX"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/orderstandard_utf8.asp","________"
"For production, replace ""test"" with ""prod"" Example:
https://secure.domain.tld/ncol/prod/alias_gateway_utf8.asp","Lors du passage à l'environnement de Production, remplacez ""test"" par ""prod"" Exemple : https://secure.domain.tld/ncol/prod/alias_gateway_utf8.asp"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/maintenancedirect.asp","Lors du passage à l'environnement de Production, remplacez ""test"" par ""prod"" Exemple : https://secure.domain.tld/ncol/prod/maintenancedirect.asp"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/orderdirect.asp","Lors du passage à l'environnement de Production, remplacez ""test"" par ""prod"" Exemple : https://secure.domain.tld/ncol/prod/orderdirect.asp"
"API User","Utilisateur API"
"API Password","Mot de passe de l'API"
"Payment Action","Action du paiement"
"If you choose ""PostFinance"", you will need to fill in all the following fields.","Si vous choisissez ""PostFinance"", vous devrez compléter les champs suivants"
"Payment Template","Template de Paiement"
"Title of the PostFinance Template","Titre du template PostFinance"
"Background Color of PostFinance Template","Couloeur de fond du template PostFinance"
"Text Color of the PostFinance Template","Couleur du texte du template PostFinance"
"Table Background Color of the PostFinance Template","Couleur du tableau du template PostFinance"
"Table Text Color of the PostFinance Template","Couleur du texte du tableau du template PostFinance"
"Button Background Color of the PostFinance Template","Couleur du bouton de fond du template PostFinance"
"Button Text Color of the PostFinance Template","Couleur du texte du bouton du template PostFinance"
"Font Family of the PostFinance Template","________"
"Logo of the PostFinance Template","Logo du Template PostFinance"
"Layout of Payment Methods","Mise en page des Méthodes de Paiement"
"e.g: white","ex : blanc"
"e.g: black","ex :  noir"
"e.g: Verdana","ex : Verdana"
"Debug","Débug"
"PostFinance Account","Compte PostFinance"
"URL/filename of the logo. The URL must be absolute and stored on a secure server.","URL/nom du lien du logo. L'URL doit être absolue et sauvegardée hébergée sur un serveur sécurisé."
"Countries","Pays"
"Card Types","Types de cartes"
"Enable 3D secure","Activer le 3D secure"
